yaml_path,phase,context,init_name,init_mode,partial_init_mode,broyden_iterations
experiments/cityscapes/ml_project/phase1_leave_one_scale/5f_drop_scale3_previous_4i.yaml,phase1_leave_one_scale,5f,drop_scale3_previous,partial,drop_scale3_previous,4
experiments/cityscapes/ml_project/phase1_two_scale/5f_scale0_scale1_previous_4i.yaml,phase1_two_scale,5f,scale0_scale1_previous,partial,fine_previous_coarse_zero,4
experiments/cityscapes/ml_project/phase1_two_scale/5f_scale0_scale2_previous_4i.yaml,phase1_two_scale,5f,scale0_scale2_previous,partial,scale0_scale2_previous,4
experiments/cityscapes/ml_project/phase1_two_scale/5f_scale0_scale3_previous_4i.yaml,phase1_two_scale,5f,scale0_scale3_previous,partial,scale0_scale3_previous,4
experiments/cityscapes/ml_project/phase1_two_scale/5f_scale1_scale2_previous_4i.yaml,phase1_two_scale,5f,scale1_scale2_previous,partial,scale1_scale2_previous,4
experiments/cityscapes/ml_project/phase1_two_scale/5f_scale1_scale3_previous_4i.yaml,phase1_two_scale,5f,scale1_scale3_previous,partial,scale1_scale3_previous,4
experiments/cityscapes/ml_project/phase1_two_scale/5f_scale2_scale3_previous_4i.yaml,phase1_two_scale,5f,scale2_scale3_previous,partial,coarse_previous_fine_zero,4
experiments/cityscapes/ml_project/phase1_three_scale/5f_only_scale0_previous_4i.yaml,phase1_three_scale,5f,only_scale0_previous,partial,only_high_resolution_previous,4
experiments/cityscapes/ml_project/phase1_three_scale/5f_only_scale1_previous_4i.yaml,phase1_three_scale,5f,only_scale1_previous,partial,only_scale1_previous,4
experiments/cityscapes/ml_project/phase1_three_scale/5f_only_scale2_previous_4i.yaml,phase1_three_scale,5f,only_scale2_previous,partial,only_scale2_previous,4
experiments/cityscapes/ml_project/phase1_three_scale/5f_only_scale3_previous_4i.yaml,phase1_three_scale,5f,only_scale3_previous,partial,only_low_resolution_previous,4
experiments/cityscapes/ml_project/phase0_global_init/5f_previous_8i.yaml,phase0_global,5f,previous,previous,,8
experiments/cityscapes/ml_project/phase0_global_init/5f_zero_8i.yaml,phase0_global,5f,zero,zero,,8
experiments/cityscapes/ml_project/phase0_global_init/5f_stale_k2_8i.yaml,phase0_global,5f,stale_k2,stale,,8
experiments/cityscapes/ml_project/phase1_leave_one_scale/5f_drop_scale0_previous_8i.yaml,phase1_leave_one_scale,5f,drop_scale0_previous,partial,drop_scale0_previous,8
experiments/cityscapes/ml_project/phase1_leave_one_scale/5f_drop_scale1_previous_8i.yaml,phase1_leave_one_scale,5f,drop_scale1_previous,partial,drop_scale1_previous,8
experiments/cityscapes/ml_project/phase1_leave_one_scale/5f_drop_scale2_previous_8i.yaml,phase1_leave_one_scale,5f,drop_scale2_previous,partial,drop_scale2_previous,8
experiments/cityscapes/ml_project/phase1_leave_one_scale/5f_drop_scale3_previous_8i.yaml,phase1_leave_one_scale,5f,drop_scale3_previous,partial,drop_scale3_previous,8
experiments/cityscapes/ml_project/phase1_two_scale/5f_scale0_scale1_previous_8i.yaml,phase1_two_scale,5f,scale0_scale1_previous,partial,fine_previous_coarse_zero,8
experiments/cityscapes/ml_project/phase1_two_scale/5f_scale0_scale2_previous_8i.yaml,phase1_two_scale,5f,scale0_scale2_previous,partial,scale0_scale2_previous,8
experiments/cityscapes/ml_project/phase1_two_scale/5f_scale0_scale3_previous_8i.yaml,phase1_two_scale,5f,scale0_scale3_previous,partial,scale0_scale3_previous,8
experiments/cityscapes/ml_project/phase1_two_scale/5f_scale1_scale2_previous_8i.yaml,phase1_two_scale,5f,scale1_scale2_previous,partial,scale1_scale2_previous,8
experiments/cityscapes/ml_project/phase1_two_scale/5f_scale1_scale3_previous_8i.yaml,phase1_two_scale,5f,scale1_scale3_previous,partial,scale1_scale3_previous,8
experiments/cityscapes/ml_project/phase1_two_scale/5f_scale2_scale3_previous_8i.yaml,phase1_two_scale,5f,scale2_scale3_previous,partial,coarse_previous_fine_zero,8
experiments/cityscapes/ml_project/phase1_three_scale/5f_only_scale0_previous_8i.yaml,phase1_three_scale,5f,only_scale0_previous,partial,only_high_resolution_previous,8
experiments/cityscapes/ml_project/phase1_three_scale/5f_only_scale1_previous_8i.yaml,phase1_three_scale,5f,only_scale1_previous,partial,only_scale1_previous,8
experiments/cityscapes/ml_project/phase1_three_scale/5f_only_scale2_previous_8i.yaml,phase1_three_scale,5f,only_scale2_previous,partial,only_scale2_previous,8
experiments/cityscapes/ml_project/phase1_three_scale/5f_only_scale3_previous_8i.yaml,phase1_three_scale,5f,only_scale3_previous,partial,only_low_resolution_previous,8
experiments/cityscapes/ml_project/phase0_global_init/10f_previous_1i.yaml,phase0_global,10f,previous,previous,,1
experiments/cityscapes/ml_project/phase0_global_init/10f_zero_1i.yaml,phase0_global,10f,zero,zero,,1
experiments/cityscapes/ml_project/phase0_global_init/10f_stale_k2_1i.yaml,phase0_global,10f,stale_k2,stale,,1
experiments/cityscapes/ml_project/phase1_leave_one_scale/10f_drop_scale0_previous_1i.yaml,phase1_leave_one_scale,10f,drop_scale0_previous,partial,drop_scale0_previous,1
experiments/cityscapes/ml_project/phase1_leave_one_scale/10f_drop_scale1_previous_1i.yaml,phase1_leave_one_scale,10f,drop_scale1_previous,partial,drop_scale1_previous,1
experiments/cityscapes/ml_project/phase1_leave_one_scale/10f_drop_scale2_previous_1i.yaml,phase1_leave_one_scale,10f,drop_scale2_previous,partial,drop_scale2_previous,1
experiments/cityscapes/ml_project/phase1_leave_one_scale/10f_drop_scale3_previous_1i.yaml,phase1_leave_one_scale,10f,drop_scale3_previous,partial,drop_scale3_previous,1
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale0_scale1_previous_1i.yaml,phase1_two_scale,10f,scale0_scale1_previous,partial,fine_previous_coarse_zero,1
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale0_scale2_previous_1i.yaml,phase1_two_scale,10f,scale0_scale2_previous,partial,scale0_scale2_previous,1
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale0_scale3_previous_1i.yaml,phase1_two_scale,10f,scale0_scale3_previous,partial,scale0_scale3_previous,1
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale1_scale2_previous_1i.yaml,phase1_two_scale,10f,scale1_scale2_previous,partial,scale1_scale2_previous,1
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale1_scale3_previous_1i.yaml,phase1_two_scale,10f,scale1_scale3_previous,partial,scale1_scale3_previous,1
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale2_scale3_previous_1i.yaml,phase1_two_scale,10f,scale2_scale3_previous,partial,coarse_previous_fine_zero,1
experiments/cityscapes/ml_project/phase1_three_scale/10f_only_scale0_previous_1i.yaml,phase1_three_scale,10f,only_scale0_previous,partial,only_high_resolution_previous,1
experiments/cityscapes/ml_project/phase1_three_scale/10f_only_scale1_previous_1i.yaml,phase1_three_scale,10f,only_scale1_previous,partial,only_scale1_previous,1
experiments/cityscapes/ml_project/phase1_three_scale/10f_only_scale2_previous_1i.yaml,phase1_three_scale,10f,only_scale2_previous,partial,only_scale2_previous,1
experiments/cityscapes/ml_project/phase1_three_scale/10f_only_scale3_previous_1i.yaml,phase1_three_scale,10f,only_scale3_previous,partial,only_low_resolution_previous,1
experiments/cityscapes/ml_project/phase0_global_init/10f_previous_2i.yaml,phase0_global,10f,previous,previous,,2
experiments/cityscapes/ml_project/phase0_global_init/10f_zero_2i.yaml,phase0_global,10f,zero,zero,,2
experiments/cityscapes/ml_project/phase0_global_init/10f_stale_k2_2i.yaml,phase0_global,10f,stale_k2,stale,,2
experiments/cityscapes/ml_project/phase1_leave_one_scale/10f_drop_scale0_previous_2i.yaml,phase1_leave_one_scale,10f,drop_scale0_previous,partial,drop_scale0_previous,2
experiments/cityscapes/ml_project/phase1_leave_one_scale/10f_drop_scale1_previous_2i.yaml,phase1_leave_one_scale,10f,drop_scale1_previous,partial,drop_scale1_previous,2
experiments/cityscapes/ml_project/phase1_leave_one_scale/10f_drop_scale2_previous_2i.yaml,phase1_leave_one_scale,10f,drop_scale2_previous,partial,drop_scale2_previous,2
experiments/cityscapes/ml_project/phase1_leave_one_scale/10f_drop_scale3_previous_2i.yaml,phase1_leave_one_scale,10f,drop_scale3_previous,partial,drop_scale3_previous,2
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale0_scale1_previous_2i.yaml,phase1_two_scale,10f,scale0_scale1_previous,partial,fine_previous_coarse_zero,2
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale0_scale2_previous_2i.yaml,phase1_two_scale,10f,scale0_scale2_previous,partial,scale0_scale2_previous,2
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale0_scale3_previous_2i.yaml,phase1_two_scale,10f,scale0_scale3_previous,partial,scale0_scale3_previous,2
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale1_scale2_previous_2i.yaml,phase1_two_scale,10f,scale1_scale2_previous,partial,scale1_scale2_previous,2
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale1_scale3_previous_2i.yaml,phase1_two_scale,10f,scale1_scale3_previous,partial,scale1_scale3_previous,2
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale2_scale3_previous_2i.yaml,phase1_two_scale,10f,scale2_scale3_previous,partial,coarse_previous_fine_zero,2
experiments/cityscapes/ml_project/phase1_three_scale/10f_only_scale0_previous_2i.yaml,phase1_three_scale,10f,only_scale0_previous,partial,only_high_resolution_previous,2
experiments/cityscapes/ml_project/phase1_three_scale/10f_only_scale1_previous_2i.yaml,phase1_three_scale,10f,only_scale1_previous,partial,only_scale1_previous,2
experiments/cityscapes/ml_project/phase1_three_scale/10f_only_scale2_previous_2i.yaml,phase1_three_scale,10f,only_scale2_previous,partial,only_scale2_previous,2
experiments/cityscapes/ml_project/phase1_three_scale/10f_only_scale3_previous_2i.yaml,phase1_three_scale,10f,only_scale3_previous,partial,only_low_resolution_previous,2
experiments/cityscapes/ml_project/phase0_global_init/10f_previous_4i.yaml,phase0_global,10f,previous,previous,,4
experiments/cityscapes/ml_project/phase0_global_init/10f_zero_4i.yaml,phase0_global,10f,zero,zero,,4
experiments/cityscapes/ml_project/phase0_global_init/10f_stale_k2_4i.yaml,phase0_global,10f,stale_k2,stale,,4
experiments/cityscapes/ml_project/phase1_leave_one_scale/10f_drop_scale0_previous_4i.yaml,phase1_leave_one_scale,10f,drop_scale0_previous,partial,drop_scale0_previous,4
experiments/cityscapes/ml_project/phase1_leave_one_scale/10f_drop_scale1_previous_4i.yaml,phase1_leave_one_scale,10f,drop_scale1_previous,partial,drop_scale1_previous,4
experiments/cityscapes/ml_project/phase1_leave_one_scale/10f_drop_scale2_previous_4i.yaml,phase1_leave_one_scale,10f,drop_scale2_previous,partial,drop_scale2_previous,4
experiments/cityscapes/ml_project/phase1_leave_one_scale/10f_drop_scale3_previous_4i.yaml,phase1_leave_one_scale,10f,drop_scale3_previous,partial,drop_scale3_previous,4
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale0_scale1_previous_4i.yaml,phase1_two_scale,10f,scale0_scale1_previous,partial,fine_previous_coarse_zero,4
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale0_scale2_previous_4i.yaml,phase1_two_scale,10f,scale0_scale2_previous,partial,scale0_scale2_previous,4
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale0_scale3_previous_4i.yaml,phase1_two_scale,10f,scale0_scale3_previous,partial,scale0_scale3_previous,4
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale1_scale2_previous_4i.yaml,phase1_two_scale,10f,scale1_scale2_previous,partial,scale1_scale2_previous,4
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale1_scale3_previous_4i.yaml,phase1_two_scale,10f,scale1_scale3_previous,partial,scale1_scale3_previous,4
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale2_scale3_previous_4i.yaml,phase1_two_scale,10f,scale2_scale3_previous,partial,coarse_previous_fine_zero,4
experiments/cityscapes/ml_project/phase1_three_scale/10f_only_scale0_previous_4i.yaml,phase1_three_scale,10f,only_scale0_previous,partial,only_high_resolution_previous,4
experiments/cityscapes/ml_project/phase1_three_scale/10f_only_scale1_previous_4i.yaml,phase1_three_scale,10f,only_scale1_previous,partial,only_scale1_previous,4
experiments/cityscapes/ml_project/phase1_three_scale/10f_only_scale2_previous_4i.yaml,phase1_three_scale,10f,only_scale2_previous,partial,only_scale2_previous,4
experiments/cityscapes/ml_project/phase1_three_scale/10f_only_scale3_previous_4i.yaml,phase1_three_scale,10f,only_scale3_previous,partial,only_low_resolution_previous,4
experiments/cityscapes/ml_project/phase0_global_init/10f_previous_8i.yaml,phase0_global,10f,previous,previous,,8
experiments/cityscapes/ml_project/phase0_global_init/10f_zero_8i.yaml,phase0_global,10f,zero,zero,,8
experiments/cityscapes/ml_project/phase0_global_init/10f_stale_k2_8i.yaml,phase0_global,10f,stale_k2,stale,,8
experiments/cityscapes/ml_project/phase1_leave_one_scale/10f_drop_scale0_previous_8i.yaml,phase1_leave_one_scale,10f,drop_scale0_previous,partial,drop_scale0_previous,8
experiments/cityscapes/ml_project/phase1_leave_one_scale/10f_drop_scale1_previous_8i.yaml,phase1_leave_one_scale,10f,drop_scale1_previous,partial,drop_scale1_previous,8
experiments/cityscapes/ml_project/phase1_leave_one_scale/10f_drop_scale2_previous_8i.yaml,phase1_leave_one_scale,10f,drop_scale2_previous,partial,drop_scale2_previous,8
experiments/cityscapes/ml_project/phase1_leave_one_scale/10f_drop_scale3_previous_8i.yaml,phase1_leave_one_scale,10f,drop_scale3_previous,partial,drop_scale3_previous,8
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale0_scale1_previous_8i.yaml,phase1_two_scale,10f,scale0_scale1_previous,partial,fine_previous_coarse_zero,8
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale0_scale2_previous_8i.yaml,phase1_two_scale,10f,scale0_scale2_previous,partial,scale0_scale2_previous,8
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale0_scale3_previous_8i.yaml,phase1_two_scale,10f,scale0_scale3_previous,partial,scale0_scale3_previous,8
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale1_scale2_previous_8i.yaml,phase1_two_scale,10f,scale1_scale2_previous,partial,scale1_scale2_previous,8
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale1_scale3_previous_8i.yaml,phase1_two_scale,10f,scale1_scale3_previous,partial,scale1_scale3_previous,8
experiments/cityscapes/ml_project/phase1_two_scale/10f_scale2_scale3_previous_8i.yaml,phase1_two_scale,10f,scale2_scale3_previous,partial,coarse_previous_fine_zero,8
experiments/cityscapes/ml_project/phase1_three_scale/10f_only_scale0_previous_8i.yaml,phase1_three_scale,10f,only_scale0_previous,partial,only_high_resolution_previous,8
experiments/cityscapes/ml_project/phase1_three_scale/10f_only_scale1_previous_8i.yaml,phase1_three_scale,10f,only_scale1_previous,partial,only_scale1_previous,8
experiments/cityscapes/ml_project/phase1_three_scale/10f_only_scale2_previous_8i.yaml,phase1_three_scale,10f,only_scale2_previous,partial,only_scale2_previous,8
experiments/cityscapes/ml_project/phase1_three_scale/10f_only_scale3_previous_8i.yaml,phase1_three_scale,10f,only_scale3_previous,partial,only_low_resolution_previous,8
experiments/cityscapes/ml_project/phase0_global_init/20f_previous_1i.yaml,phase0_global,20f,previous,previous,,1
experiments/cityscapes/ml_project/phase0_global_init/20f_zero_1i.yaml,phase0_global,20f,zero,zero,,1
experiments/cityscapes/ml_project/phase0_global_init/20f_stale_k2_1i.yaml,phase0_global,20f,stale_k2,stale,,1
experiments/cityscapes/ml_project/phase1_leave_one_scale/20f_drop_scale0_previous_1i.yaml,phase1_leave_one_scale,20f,drop_scale0_previous,partial,drop_scale0_previous,1
experiments/cityscapes/ml_project/phase1_leave_one_scale/20f_drop_scale1_previous_1i.yaml,phase1_leave_one_scale,20f,drop_scale1_previous,partial,drop_scale1_previous,1
experiments/cityscapes/ml_project/phase1_leave_one_scale/20f_drop_scale2_previous_1i.yaml,phase1_leave_one_scale,20f,drop_scale2_previous,partial,drop_scale2_previous,1
experiments/cityscapes/ml_project/phase1_leave_one_scale/20f_drop_scale3_previous_1i.yaml,phase1_leave_one_scale,20f,drop_scale3_previous,partial,drop_scale3_previous,1
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale0_scale1_previous_1i.yaml,phase1_two_scale,20f,scale0_scale1_previous,partial,fine_previous_coarse_zero,1
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale0_scale2_previous_1i.yaml,phase1_two_scale,20f,scale0_scale2_previous,partial,scale0_scale2_previous,1
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale0_scale3_previous_1i.yaml,phase1_two_scale,20f,scale0_scale3_previous,partial,scale0_scale3_previous,1
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale1_scale2_previous_1i.yaml,phase1_two_scale,20f,scale1_scale2_previous,partial,scale1_scale2_previous,1
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale1_scale3_previous_1i.yaml,phase1_two_scale,20f,scale1_scale3_previous,partial,scale1_scale3_previous,1
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale2_scale3_previous_1i.yaml,phase1_two_scale,20f,scale2_scale3_previous,partial,coarse_previous_fine_zero,1
experiments/cityscapes/ml_project/phase1_three_scale/20f_only_scale0_previous_1i.yaml,phase1_three_scale,20f,only_scale0_previous,partial,only_high_resolution_previous,1
experiments/cityscapes/ml_project/phase1_three_scale/20f_only_scale1_previous_1i.yaml,phase1_three_scale,20f,only_scale1_previous,partial,only_scale1_previous,1
experiments/cityscapes/ml_project/phase1_three_scale/20f_only_scale2_previous_1i.yaml,phase1_three_scale,20f,only_scale2_previous,partial,only_scale2_previous,1
experiments/cityscapes/ml_project/phase1_three_scale/20f_only_scale3_previous_1i.yaml,phase1_three_scale,20f,only_scale3_previous,partial,only_low_resolution_previous,1
experiments/cityscapes/ml_project/phase0_global_init/20f_previous_2i.yaml,phase0_global,20f,previous,previous,,2
experiments/cityscapes/ml_project/phase0_global_init/20f_zero_2i.yaml,phase0_global,20f,zero,zero,,2
experiments/cityscapes/ml_project/phase0_global_init/20f_stale_k2_2i.yaml,phase0_global,20f,stale_k2,stale,,2
experiments/cityscapes/ml_project/phase1_leave_one_scale/20f_drop_scale0_previous_2i.yaml,phase1_leave_one_scale,20f,drop_scale0_previous,partial,drop_scale0_previous,2
experiments/cityscapes/ml_project/phase1_leave_one_scale/20f_drop_scale1_previous_2i.yaml,phase1_leave_one_scale,20f,drop_scale1_previous,partial,drop_scale1_previous,2
experiments/cityscapes/ml_project/phase1_leave_one_scale/20f_drop_scale2_previous_2i.yaml,phase1_leave_one_scale,20f,drop_scale2_previous,partial,drop_scale2_previous,2
experiments/cityscapes/ml_project/phase1_leave_one_scale/20f_drop_scale3_previous_2i.yaml,phase1_leave_one_scale,20f,drop_scale3_previous,partial,drop_scale3_previous,2
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale0_scale1_previous_2i.yaml,phase1_two_scale,20f,scale0_scale1_previous,partial,fine_previous_coarse_zero,2
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale0_scale2_previous_2i.yaml,phase1_two_scale,20f,scale0_scale2_previous,partial,scale0_scale2_previous,2
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale0_scale3_previous_2i.yaml,phase1_two_scale,20f,scale0_scale3_previous,partial,scale0_scale3_previous,2
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale1_scale2_previous_2i.yaml,phase1_two_scale,20f,scale1_scale2_previous,partial,scale1_scale2_previous,2
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale1_scale3_previous_2i.yaml,phase1_two_scale,20f,scale1_scale3_previous,partial,scale1_scale3_previous,2
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale2_scale3_previous_2i.yaml,phase1_two_scale,20f,scale2_scale3_previous,partial,coarse_previous_fine_zero,2
experiments/cityscapes/ml_project/phase1_three_scale/20f_only_scale0_previous_2i.yaml,phase1_three_scale,20f,only_scale0_previous,partial,only_high_resolution_previous,2
experiments/cityscapes/ml_project/phase1_three_scale/20f_only_scale1_previous_2i.yaml,phase1_three_scale,20f,only_scale1_previous,partial,only_scale1_previous,2
experiments/cityscapes/ml_project/phase1_three_scale/20f_only_scale2_previous_2i.yaml,phase1_three_scale,20f,only_scale2_previous,partial,only_scale2_previous,2
experiments/cityscapes/ml_project/phase1_three_scale/20f_only_scale3_previous_2i.yaml,phase1_three_scale,20f,only_scale3_previous,partial,only_low_resolution_previous,2
experiments/cityscapes/ml_project/phase0_global_init/20f_previous_4i.yaml,phase0_global,20f,previous,previous,,4
experiments/cityscapes/ml_project/phase0_global_init/20f_zero_4i.yaml,phase0_global,20f,zero,zero,,4
experiments/cityscapes/ml_project/phase0_global_init/20f_stale_k2_4i.yaml,phase0_global,20f,stale_k2,stale,,4
experiments/cityscapes/ml_project/phase1_leave_one_scale/20f_drop_scale0_previous_4i.yaml,phase1_leave_one_scale,20f,drop_scale0_previous,partial,drop_scale0_previous,4
experiments/cityscapes/ml_project/phase1_leave_one_scale/20f_drop_scale1_previous_4i.yaml,phase1_leave_one_scale,20f,drop_scale1_previous,partial,drop_scale1_previous,4
experiments/cityscapes/ml_project/phase1_leave_one_scale/20f_drop_scale2_previous_4i.yaml,phase1_leave_one_scale,20f,drop_scale2_previous,partial,drop_scale2_previous,4
experiments/cityscapes/ml_project/phase1_leave_one_scale/20f_drop_scale3_previous_4i.yaml,phase1_leave_one_scale,20f,drop_scale3_previous,partial,drop_scale3_previous,4
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale0_scale1_previous_4i.yaml,phase1_two_scale,20f,scale0_scale1_previous,partial,fine_previous_coarse_zero,4
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale0_scale2_previous_4i.yaml,phase1_two_scale,20f,scale0_scale2_previous,partial,scale0_scale2_previous,4
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale0_scale3_previous_4i.yaml,phase1_two_scale,20f,scale0_scale3_previous,partial,scale0_scale3_previous,4
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale1_scale2_previous_4i.yaml,phase1_two_scale,20f,scale1_scale2_previous,partial,scale1_scale2_previous,4
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale1_scale3_previous_4i.yaml,phase1_two_scale,20f,scale1_scale3_previous,partial,scale1_scale3_previous,4
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale2_scale3_previous_4i.yaml,phase1_two_scale,20f,scale2_scale3_previous,partial,coarse_previous_fine_zero,4
experiments/cityscapes/ml_project/phase1_three_scale/20f_only_scale0_previous_4i.yaml,phase1_three_scale,20f,only_scale0_previous,partial,only_high_resolution_previous,4
experiments/cityscapes/ml_project/phase1_three_scale/20f_only_scale1_previous_4i.yaml,phase1_three_scale,20f,only_scale1_previous,partial,only_scale1_previous,4
experiments/cityscapes/ml_project/phase1_three_scale/20f_only_scale2_previous_4i.yaml,phase1_three_scale,20f,only_scale2_previous,partial,only_scale2_previous,4
experiments/cityscapes/ml_project/phase1_three_scale/20f_only_scale3_previous_4i.yaml,phase1_three_scale,20f,only_scale3_previous,partial,only_low_resolution_previous,4
experiments/cityscapes/ml_project/phase0_global_init/20f_previous_8i.yaml,phase0_global,20f,previous,previous,,8
experiments/cityscapes/ml_project/phase0_global_init/20f_zero_8i.yaml,phase0_global,20f,zero,zero,,8
experiments/cityscapes/ml_project/phase0_global_init/20f_stale_k2_8i.yaml,phase0_global,20f,stale_k2,stale,,8
experiments/cityscapes/ml_project/phase1_leave_one_scale/20f_drop_scale0_previous_8i.yaml,phase1_leave_one_scale,20f,drop_scale0_previous,partial,drop_scale0_previous,8
experiments/cityscapes/ml_project/phase1_leave_one_scale/20f_drop_scale1_previous_8i.yaml,phase1_leave_one_scale,20f,drop_scale1_previous,partial,drop_scale1_previous,8
experiments/cityscapes/ml_project/phase1_leave_one_scale/20f_drop_scale2_previous_8i.yaml,phase1_leave_one_scale,20f,drop_scale2_previous,partial,drop_scale2_previous,8
experiments/cityscapes/ml_project/phase1_leave_one_scale/20f_drop_scale3_previous_8i.yaml,phase1_leave_one_scale,20f,drop_scale3_previous,partial,drop_scale3_previous,8
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale0_scale1_previous_8i.yaml,phase1_two_scale,20f,scale0_scale1_previous,partial,fine_previous_coarse_zero,8
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale0_scale2_previous_8i.yaml,phase1_two_scale,20f,scale0_scale2_previous,partial,scale0_scale2_previous,8
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale0_scale3_previous_8i.yaml,phase1_two_scale,20f,scale0_scale3_previous,partial,scale0_scale3_previous,8
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale1_scale2_previous_8i.yaml,phase1_two_scale,20f,scale1_scale2_previous,partial,scale1_scale2_previous,8
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale1_scale3_previous_8i.yaml,phase1_two_scale,20f,scale1_scale3_previous,partial,scale1_scale3_previous,8
experiments/cityscapes/ml_project/phase1_two_scale/20f_scale2_scale3_previous_8i.yaml,phase1_two_scale,20f,scale2_scale3_previous,partial,coarse_previous_fine_zero,8
experiments/cityscapes/ml_project/phase1_three_scale/20f_only_scale0_previous_8i.yaml,phase1_three_scale,20f,only_scale0_previous,partial,only_high_resolution_previous,8
experiments/cityscapes/ml_project/phase1_three_scale/20f_only_scale1_previous_8i.yaml,phase1_three_scale,20f,only_scale1_previous,partial,only_scale1_previous,8
experiments/cityscapes/ml_project/phase1_three_scale/20f_only_scale2_previous_8i.yaml,phase1_three_scale,20f,only_scale2_previous,partial,only_scale2_previous,8
experiments/cityscapes/ml_project/phase1_three_scale/20f_only_scale3_previous_8i.yaml,phase1_three_scale,20f,only_scale3_previous,partial,only_low_resolution_previous,8
